ID,Applicant_Name,Gender,District,State,Pincode,Ownership,GovtID_Type,ID_Number,Category,Load_Applied,Date_of_Application,Date_of_Approval,Modified_Date,Status,Reviewer_ID,Reviewer_Name,Reviewer_Comments
1,Umang Dutta,Female,Lucknow,Uttar Pradesh,729039,Joint,Voter_Id,VOT818957,Commercial,44,31-12-2024,20-01-2025,14-01-2025,Approved,9123,Farhan Sundaram,Installation pending
2,Reyansh Sawhney,Female,Pune,Maharashtra,860831,Joint,Aadhar,9.58E+11,Commercial,11,21-06-2024,01-07-2024,27-08-2024,Rejected,3460,Navya Chokshi,KYC failed
3,Hansh Mangat,Male,Kolkata,West Bengal,206699,Joint,PAN,dTJOe4187a,Commercial,28,11-02-2025,26-02-2025,07-03-2025,Approved,7703,Umang Loke,KYC failed
4,Anaya Solanki,Male,Kolkata,West Bengal,546490,Joint,Aadhar,5.83E+11,Commercial,44,10-05-2024,23-06-2024,21-05-2024,Rejected,1481,Tejas Madan,KYC failed
5,Vardaniya Rout,Female,Kolkata,West Bengal,683278,Joint,PAN,LPtwG3378T,Commercial,32,14-02-2025,04-04-2025,01-03-2025,Connection Released,4032,Kashvi Chandran,Documents verification in progress
6,Damini Ravel,Male,Delhi,Delhi,755654,Individual,Passport,P4543784,Commercial,41,09-05-2025,20-06-2025,05-08-2025,Connection Released,9500,Darshit Rout,Installation pending
7,Nirvaan Sem,Male,Pune,Maharashtra,63029,Joint,Voter_Id,VOT682135,Commercial,9,14-05-2025,,11-06-2025,Pending,7027,Armaan Venkatesh,Installation completed
8,Hunar Shah,Male,Pune,Maharashtra,114397,Individual,Voter_Id,VOT134380,Residential,6,26-03-2025,09-05-2025,02-06-2025,Approved,9895,Khushi Taneja,KYC failed
9,Ira Karan,Female,Jaipur,Rajasthan,746788,Individual,Aadhar,5.40E+11,Residential,9,19-04-2025,,30-04-2025,Rejected,5269,Advika Thaman,KYC failed
10,Ishita Gour,Female,Lucknow,Uttar Pradesh,650035,Joint,Passport,P4033847,Commercial,29,20-03-2025,04-05-2025,17-04-2025,Pending,8205,Divij Bhatt,Installation pending
11,Renee Rajan,Male,Hyderabad,Telangana,624540,Joint,Passport,P3412005,Residential,49,14-01-2024,23-02-2024,28-01-2024,Connection Released,1232,Yuvaan Raja,Installation pending
12,Neelofar Kale,Male,Lucknow,Uttar Pradesh,289188,Joint,Voter_Id,VOT675352,Commercial,24,15-02-2025,03-03-2025,26-02-2025,Rejected,1009,Shlok Mane,KYC failed
13,Divit Gill,Female,Pune,Maharashtra,53553,Joint,Aadhar,8.92E+11,Commercial,22,01-04-2025,15-04-2025,28-04-2025,Approved,6134,Dhanush Sidhu,Installation pending
14,Pranay Badami,Male,Mumbai,Maharashtra,439055,Joint,Voter_Id,VOT146034,Residential,20,24-12-2024,24-01-2025,31-12-2024,Connection Released,6073,Myra Dasgupta,KYC failed
15,Trisha Hegde,Female,Ahmedabad,Gujarat,190052,Joint,Voter_Id,VOT329680,Commercial,31,03-02-2024,23-02-2024,26-03-2024,Rejected,4335,Tejas Vig,Installation pending
16,Diya Kapoor,Female,Chennai,Tamil Nadu,327993,Joint,Voter_Id,VOT589436,Residential,7,21-05-2025,29-05-2025,15-08-2025,Pending,4405,Neysa Bera,Installation completed
17,Saksham Apte,Female,Jaipur,Rajasthan,340714,Joint,Voter_Id,VOT352212,Commercial,18,25-10-2024,04-12-2024,10-01-2025,Approved,1814,Nayantara Sarkar,Installation completed
18,Raunak Ganesan,Male,Chennai,Tamil Nadu,445013,Joint,PAN,gyRMs7668C,Commercial,8,19-04-2024,25-05-2024,27-05-2024,Approved,9008,Uthkarsh Bora,KYC failed
19,Ishita Dhingra,Female,Bangalore,Karnataka,170900,Individual,Passport,P3036268,Commercial,48,20-02-2024,,06-05-2024,Approved,3112,Mohanlal Bhatt,KYC failed
20,Tara Goyal,Male,Kolkata,West Bengal,389348,Joint,Voter_Id,VOT255810,Residential,25,12-10-2024,21-11-2024,21-10-2024,Pending,3087,Lakshay Tripathi,Installation completed
21,Kartik Khare,Male,Mumbai,Maharashtra,653259,Joint,Aadhar,16703889347,Residential,20,09-02-2025,04-04-2025,10-05-2025,Pending,2600,Zara Borah,KYC failed
22,Tarini Hari,Male,Kolkata,West Bengal,147016,Individual,Aadhar,1.45E+11,Commercial,36,21-03-2024,,12-06-2024,Approved,6436,Nakul Sama,Installation pending
23,Dishani Anand,Male,Lucknow,Uttar Pradesh,998940,Individual,PAN,LEeAu0081g,Residential,12,28-08-2024,10-10-2024,20-09-2024,Connection Released,6271,Onkar Garg,Documents verification in progress
24,Tiya Thaman,Male,Chennai,Tamil Nadu,778257,Individual,PAN,UsjEg4973r,Residential,43,17-02-2024,04-03-2024,05-05-2024,Pending,3161,Shanaya Agarwal,Installation completed
25,Tiya Anand,Female,Bangalore,Karnataka,664212,Individual,Passport,P6533773,Commercial,33,05-10-2024,09-10-2024,26-11-2024,Rejected,6172,Advik Vig,Installation pending
26,Jhanvi Shah,Female,Bangalore,Karnataka,736208,Individual,Voter_Id,VOT196763,Residential,8,18-05-2024,25-05-2024,17-06-2024,Approved,6730,Myra Bal,Installation completed
27,Aarna Srinivasan,Male,Delhi,Delhi,629399,Joint,PAN,nTRHq2957d,Residential,45,17-03-2025,12-04-2025,03-06-2025,Connection Released,3281,Ira Kakar,KYC failed
28,Yashvi Kapoor,Male,Chennai,Tamil Nadu,341868,Individual,Voter_Id,VOT817183,Residential,45,04-05-2025,06-05-2025,08-07-2025,Approved,5963,Samaira Sarna,Documents verification in progress
29,Misha Dugal,Female,Bangalore,Karnataka,783445,Joint,Voter_Id,VOT485397,Residential,23,12-10-2024,,23-12-2024,Connection Released,5459,Aniruddh Krishnamurthy,Documents verification in progress
30,Kashvi Vohra,Female,Hyderabad,Telangana,864467,Joint,PAN,YsTvQ6660e,Residential,32,16-01-2025,16-03-2025,17-01-2025,Approved,8905,Biju Jain,KYC failed
31,Ehsaan Bera,Female,Delhi,Delhi,414311,Individual,PAN,UASVt6067l,Commercial,34,29-11-2024,20-12-2024,21-02-2025,Connection Released,3243,Myra Mand,KYC failed
32,Aarav Kashyap,Male,Hyderabad,Telangana,628591,Individual,Voter_Id,VOT788337,Commercial,3,21-04-2025,13-05-2025,04-05-2025,Approved,4390,Hridaan Walia,Documents verification in progress
33,Krish Tata,Male,Kolkata,West Bengal,747872,Joint,PAN,vmCVb9154m,Commercial,4,22-07-2024,01-08-2024,06-09-2024,Rejected,3275,Azad Kamdar,KYC failed
34,Dharmajan Khatri,Female,Kolkata,West Bengal,67932,Joint,PAN,ZSzcr8089E,Residential,34,10-04-2024,03-06-2024,10-06-2024,Pending,7096,Darshit Bose,KYC failed
35,Zara Dar,Female,Delhi,Delhi,623855,Individual,Passport,P9200644,Commercial,9,02-12-2024,29-12-2024,17-01-2025,Connection Released,8461,Ishita Sood,Installation pending
36,Eshani Goswami,Male,Mumbai,Maharashtra,229539,Individual,Passport,P7143232,Residential,12,11-12-2024,12-12-2024,23-01-2025,Pending,2651,Khushi Joshi,Installation pending
37,Himmat Bhasin,Male,Delhi,Delhi,557126,Individual,PAN,UdeLO0233N,Commercial,25,05-07-2024,,09-09-2024,Rejected,8425,Pihu Lad,KYC failed
